date,aapl,msft,amzn
10/20/1982,0.360961,,
10/21/1982,0.369852,,
10/22/1982,0.368074,,
10/25/1982,0.346736,,
10/26/1982,0.348515,,
10/27/1982,0.357405,,
10/28/1982,0.357405,,
10/29/1982,0.360961,,
11/1/1982,0.380521,,
11/2/1982,0.407193,,
11/3/1982,0.437421,,
11/4/1982,0.440977,,
11/5/1982,0.428531,,
11/8/1982,0.410749,,
11/9/1982,0.424975,,
11/10/1982,0.440977,,
11/11/1982,0.469428,,
11/12/1982,0.460537,,
11/15/1982,0.449868,,
11/16/1982,0.426752,,
11/17/1982,0.446312,,
11/18/1982,0.446312,,
11/19/1982,0.439199,,
11/22/1982,0.40008,,
11/23/1982,0.410749,,
11/24/1982,0.41964,,
11/26/1982,0.412528,,
11/29/1982,0.410749,,
11/30/1982,0.453425,,
12/1/1982,0.462315,,
12/2/1982,0.462315,,
12/3/1982,0.451646,,
12/6/1982,0.47654,,
12/7/1982,0.481875,,
12/8/1982,0.471206,,
12/9/1982,0.44809,,
12/10/1982,0.416084,,
12/13/1982,0.407193,,
12/14/1982,0.403637,,
12/15/1982,0.401859,,
12/16/1982,0.408971,,
12/17/1982,0.428531,,
12/20/1982,0.426752,,
12/21/1982,0.430309,,
12/22/1982,0.442756,,
12/23/1982,0.455203,,
12/27/1982,0.465871,,
12/28/1982,0.462315,,
12/29/1982,0.446312,,
12/30/1982,0.426752,,
12/31/1982,0.424975,,
1/3/1983,0.405415,,
1/4/1983,0.428531,,
1/5/1983,0.430309,,
1/6/1983,0.414306,,
1/7/1983,0.39119,,
1/10/1983,0.408971,,
1/11/1983,0.414306,,
1/12/1983,0.437421,,
1/13/1983,0.437421,,
1/14/1983,0.469428,,
1/17/1983,0.485431,,
1/18/1983,0.474762,,
1/19/1983,0.478318,,
1/20/1983,0.531662,,
1/21/1983,0.531662,,
1/24/1983,0.501434,,
1/25/1983,0.520994,,
1/26/1983,0.542331,,
1/27/1983,0.579672,,
1/28/1983,0.583229,,
1/31/1983,0.58145,,
2/1/1983,0.593897,,
2/2/1983,0.6099,,
2/3/1983,0.634794,,
2/4/1983,0.625903,,
2/7/1983,0.60101,,
2/8/1983,0.595675,,
2/9/1983,0.60101,,
2/10/1983,0.640129,,
2/11/1983,0.661466,,
2/14/1983,0.65791,,
2/15/1983,0.645463,,
2/16/1983,0.633016,,
2/17/1983,0.625903,,
2/18/1983,0.645463,,
2/22/1983,0.661466,,
2/23/1983,0.666801,,
2/24/1983,0.684582,,
2/25/1983,0.665023,,
2/28/1983,0.649019,,
3/1/1983,0.659688,,
3/2/1983,0.665023,,
3/3/1983,0.643685,,
3/4/1983,0.634794,,
3/7/1983,0.622347,,
3/8/1983,0.602788,,
3/9/1983,0.620569,,
3/10/1983,0.611678,,
3/11/1983,0.602788,,
3/14/1983,0.588563,,
3/15/1983,0.597454,,
3/16/1983,0.597454,,
3/17/1983,0.602788,,
3/18/1983,0.611678,,
3/21/1983,0.625903,,
3/22/1983,0.633016,,
3/23/1983,0.602788,,
3/24/1983,0.613457,,
3/25/1983,0.613457,,
3/28/1983,0.604566,,
3/29/1983,0.622347,,
3/30/1983,0.62946,,
3/31/1983,0.60101,,
4/4/1983,0.585007,,
4/5/1983,0.574338,,
4/6/1983,0.569003,,
4/7/1983,0.563669,,
4/8/1983,0.560113,,
4/11/1983,0.592119,,
4/12/1983,0.604566,,
4/13/1983,0.625903,,
4/14/1983,0.640129,,
4/15/1983,0.650797,,
4/18/1983,0.668579,,
4/19/1983,0.661466,,
4/20/1983,0.720145,,
4/21/1983,0.739704,,
4/22/1983,0.725479,,
4/25/1983,0.691695,,
4/26/1983,0.711254,,
4/27/1983,0.704141,,
4/28/1983,0.711254,,
4/29/1983,0.718367,,
5/2/1983,0.697029,,
5/3/1983,0.689916,,
5/4/1983,0.732592,,
5/5/1983,0.780601,,
5/6/1983,0.784158,,
5/9/1983,0.773489,,
5/10/1983,0.778823,,
5/11/1983,0.759264,,
5/12/1983,0.752151,,
5/13/1983,0.755708,,
5/16/1983,0.736148,,
5/17/1983,0.737926,,
5/18/1983,0.746817,,
5/19/1983,0.769933,,
5/20/1983,0.809052,,
5/23/1983,0.817942,,
5/24/1983,0.860617,,
5/25/1983,0.853505,,
5/26/1983,0.844614,,
5/27/1983,0.844614,,
5/31/1983,0.821498,,
6/1/1983,0.826833,,
6/2/1983,0.832167,,
6/3/1983,0.873065,,
6/6/1983,0.892624,,
6/7/1983,0.862396,,
6/8/1983,0.851727,,
6/9/1983,0.846392,,
6/10/1983,0.842836,,
6/13/1983,0.814386,,
6/14/1983,0.796604,,
6/15/1983,0.773489,,
6/16/1983,0.814386,,
6/17/1983,0.798383,,
6/20/1983,0.759264,,
6/21/1983,0.764598,,
6/22/1983,0.787714,,
6/23/1983,0.76282,,
6/24/1983,0.757486,,
6/27/1983,0.716588,,
6/28/1983,0.666801,,
6/29/1983,0.698807,,
6/30/1983,0.695251,,
7/1/1983,0.700585,,
7/5/1983,0.672135,,
7/6/1983,0.673913,,
7/7/1983,0.665023,,
7/8/1983,0.65791,,
7/11/1983,0.675691,,
7/12/1983,0.659688,,
7/13/1983,0.656132,,
7/14/1983,0.654354,,
7/15/1983,0.631238,,
7/18/1983,0.62946,,
7/19/1983,0.622347,,
7/20/1983,0.586785,,
7/21/1983,0.617013,,
7/22/1983,0.622347,,
7/25/1983,0.613457,,
7/26/1983,0.556556,,
7/27/1983,0.515659,,
7/28/1983,0.483653,,
7/29/1983,0.4961,,
8/1/1983,0.490765,,
8/2/1983,0.488987,,
8/3/1983,0.4961,,
8/4/1983,0.472984,,
8/5/1983,0.481875,,
8/8/1983,0.483653,,
8/9/1983,0.488987,,
8/10/1983,0.487209,,
8/11/1983,0.480097,,
8/12/1983,0.47654,,
8/15/1983,0.488987,,
8/16/1983,0.481875,,
8/17/1983,0.471206,,
8/18/1983,0.47654,,
8/19/1983,0.480097,,
8/22/1983,0.478318,,
8/23/1983,0.453425,,
8/24/1983,0.430309,,
8/25/1983,0.433865,,
8/26/1983,0.439199,,
8/29/1983,0.444534,,
8/30/1983,0.46765,,
8/31/1983,0.529884,,
9/1/1983,0.517437,,
9/2/1983,0.540553,,
9/6/1983,0.560113,,
9/7/1983,0.492543,,
9/8/1983,0.451646,,
9/9/1983,0.435643,,
9/12/1983,0.435643,,
9/13/1983,0.455203,,
9/14/1983,0.449868,,
9/15/1983,0.428531,,
9/16/1983,0.417862,,
9/19/1983,0.455203,,
9/20/1983,0.456981,,
9/21/1983,0.44809,,
9/22/1983,0.462315,,
9/23/1983,0.344958,,
9/26/1983,0.353849,,
9/27/1983,0.334289,,
9/28/1983,0.325399,,
9/29/1983,0.323621,,
9/30/1983,0.328955,,
10/3/1983,0.328955,,
10/4/1983,0.325399,,
10/5/1983,0.320064,,
10/6/1983,0.316508,,
10/7/1983,0.289836,,
10/10/1983,0.280945,,
10/11/1983,0.275611,,
10/12/1983,0.300505,,
10/13/1983,0.327177,,
10/14/1983,0.323621,,
10/17/1983,0.298727,,
10/18/1983,0.275611,,
10/19/1983,0.305839,,
10/20/1983,0.289836,,
10/21/1983,0.282723,,
10/24/1983,0.300505,,
10/25/1983,0.302283,,
10/26/1983,0.28628,,
10/27/1983,0.300505,,
10/28/1983,0.296949,,
10/31/1983,0.321843,,
11/1/1983,0.327177,,
11/2/1983,0.334289,,
11/3/1983,0.311174,,
11/4/1983,0.300505,,
11/7/1983,0.298727,,
11/8/1983,0.254273,,
11/9/1983,0.273833,,
11/10/1983,0.279167,,
11/11/1983,0.284502,,
11/14/1983,0.280945,,
11/15/1983,0.280945,,
11/16/1983,0.284502,,
11/17/1983,0.291614,,
11/18/1983,0.293392,,
11/21/1983,0.305839,,
11/22/1983,0.305839,,
11/23/1983,0.289836,,
11/25/1983,0.291614,,
11/28/1983,0.298727,,
11/29/1983,0.295171,,
11/30/1983,0.289836,,
12/1/1983,0.288058,,
12/2/1983,0.282723,,
12/5/1983,0.289836,,
12/6/1983,0.291614,,
12/7/1983,0.298727,,
12/8/1983,0.305839,,
12/9/1983,0.307617,,
12/12/1983,0.305839,,
12/13/1983,0.320064,,
12/14/1983,0.332511,,
12/15/1983,0.346736,,
12/16/1983,0.352071,,
12/19/1983,0.341402,,
12/20/1983,0.332511,,
12/21/1983,0.344958,,
12/22/1983,0.352071,,
12/23/1983,0.350293,,
12/27/1983,0.352071,,
12/28/1983,0.355627,,
12/29/1983,0.346736,,
12/30/1983,0.346736,,
1/3/1984,0.364518,,
1/4/1984,0.396524,,
1/5/1984,0.401859,,
1/6/1984,0.394746,,
1/9/1984,0.373408,,
1/10/1984,0.392968,,
1/11/1984,0.398302,,
1/12/1984,0.396524,,
1/13/1984,0.387633,,
1/16/1984,0.396524,,
1/17/1984,0.407193,,
1/18/1984,0.408971,,
1/19/1984,0.412528,,
1/20/1984,0.407193,,
1/23/1984,0.410749,,
1/24/1984,0.387633,,
1/25/1984,0.384077,,
1/26/1984,0.392968,,
1/27/1984,0.37163,,
1/30/1984,0.352071,,
1/31/1984,0.352071,,
2/1/1984,0.350293,,
2/2/1984,0.353849,,
2/3/1984,0.348515,,
2/6/1984,0.330733,,
2/7/1984,0.34318,,
2/8/1984,0.330733,,
2/9/1984,0.336068,,
2/10/1984,0.346736,,
2/13/1984,0.344958,,
2/14/1984,0.364518,,
2/15/1984,0.357405,,
2/16/1984,0.360961,,
2/17/1984,0.355627,,
2/21/1984,0.37163,,
2/22/1984,0.389412,,
2/23/1984,0.382299,,
2/24/1984,0.385855,,
2/27/1984,0.384077,,
2/28/1984,0.36274,,
2/29/1984,0.373408,,
3/1/1984,0.384077,,
3/2/1984,0.387633,,
3/5/1984,0.380521,,
3/6/1984,0.366296,,
3/7/1984,0.376965,,
3/8/1984,0.382299,,
3/9/1984,0.375187,,
3/12/1984,0.389412,,
3/13/1984,0.384077,,
3/14/1984,0.378743,,
3/15/1984,0.380521,,
3/16/1984,0.378743,,
3/19/1984,0.373408,,
3/20/1984,0.369852,,
3/21/1984,0.369852,,
3/22/1984,0.36274,,
3/23/1984,0.36274,,
3/26/1984,0.366296,,
3/27/1984,0.355627,,
3/28/1984,0.36274,,
3/29/1984,0.360961,,
3/30/1984,0.352071,,
4/2/1984,0.353849,,
4/3/1984,0.355627,,
4/4/1984,0.348515,,
4/5/1984,0.34318,,
4/6/1984,0.334289,,
4/9/1984,0.334289,,
4/10/1984,0.352071,,
4/11/1984,0.348515,,
4/12/1984,0.366296,,
4/13/1984,0.366296,,
4/16/1984,0.373408,,
4/17/1984,0.39119,,
4/18/1984,0.398302,,
4/19/1984,0.401859,,
4/23/1984,0.403637,,
4/24/1984,0.396524,,
4/25/1984,0.392968,,
4/26/1984,0.423196,,
4/27/1984,0.428531,,
4/30/1984,0.446312,,
5/1/1984,0.472984,,
5/2/1984,0.469428,,
5/3/1984,0.449868,,
5/4/1984,0.428531,,
5/7/1984,0.442756,,
5/8/1984,0.46765,,
5/9/1984,0.471206,,
5/10/1984,0.471206,,
5/11/1984,0.458759,,
5/14/1984,0.449868,,
5/15/1984,0.453425,,
5/16/1984,0.433865,,
5/17/1984,0.414306,,
5/18/1984,0.423196,,
5/21/1984,0.453425,,
5/22/1984,0.439199,,
5/23/1984,0.430309,,
5/24/1984,0.417862,,
5/25/1984,0.41964,,
